词,出现次数,文档频次,文档概率
星辰,3,3,0.001300
花时,3,3,0.001300
白蘋,3,3,0.001300
春水,3,3,0.001300
深山,3,3,0.001300
苍茫,3,3,0.001300
新诗,3,3,0.001300
西风,3,3,0.001300
秋草,3,3,0.001300
半夜,3,3,0.001300
咫尺,2,2,0.000867
文字,2,2,0.000867
随风,2,2,0.000867
月落,2,2,0.000867
扬州,2,2,0.000867
回头,2,2,0.000867
家贫,2,2,0.000867
山僧,2,2,0.000867
老去,2,2,0.000867
独立,2,2,0.000867
昨日,2,2,0.000867
人皆,2,2,0.000867
宫殿,2,2,0.000867
阑干,2,2,0.000867
青天,2,2,0.000867
日出,2,2,0.000867
湖上,2,2,0.000867
秋雨,2,2,0.000867
长江,2,2,0.000867
新月,2,2,0.000867
当年,2,2,0.000867
杏花,2,2,0.000867
圣朝,2,2,0.000867
细雨,2,2,0.000867
世间,2,2,0.000867
雨后,2,2,0.000867
飞鸟,2,2,0.000867
楚水,2,2,0.000867
来往,2,2,0.000867
多情,2,2,0.000867
孤云,2,2,0.000867
夜雨,2,2,0.000867
月出,2,2,0.000867
读书,2,2,0.000867
出入,2,2,0.000867
春雨,2,2,0.000867
波涛,2,2,0.000867
山色,2,2,0.000867
登楼,2,2,0.000867
水清,2,2,0.000867
清秋,2,2,0.000867
微雨,1,1,0.000433
九天,1,1,0.000433
杯酒,1,1,0.000433
天寒,1,1,0.000433
人稀,1,1,0.000433
依稀,1,1,0.000433
青冥,1,1,0.000433
钓鱼,1,1,0.000433
往事,1,1,0.000433
行客,1,1,0.000433
雨中,1,1,0.000433
绿杨,1,1,0.000433
红叶,1,1,0.000433
题诗,1,1,0.000433
秋声,1,1,0.000433
依旧,1,1,0.000433
怜君,1,1,0.000433
君家,1,1,0.000433
梦魂,1,1,0.000433
扁舟,1,1,0.000433
归客,1,1,0.000433
相访,1,1,0.000433
珍重,1,1,0.000433
江边,1,1,0.000433
遥知,1,1,0.000433
老人,1,1,0.000433
年少,1,1,0.000433
闭门,1,1,0.000433
汀洲,1,1,0.000433
自由,1,1,0.000433
苍苔,1,1,0.000433
满眼,1,1,0.000433
吾道,1,1,0.000433
近来,1,1,0.000433
夜深,1,1,0.000433
到处,1,1,0.000433
饮酒,1,1,0.000433
满地,1,1,0.000433
眼前,1,1,0.000433
