phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
望乡,28,0.044444444444444446,0.0006313035724800431,1.181914745787867,0.009104360414200827,0.0012070883964104785,11,0.004768,352.5,313.0,351.0,399.0,369.0,356.9
太平,26,0.04126984126984127,0.0008558979147214441,1.2016576375001902,0.006708201673192946,0.001167950762301996,11,0.004768,378.5,278.0,314.0,440.0,376.0,357.3
马蹄,28,0.044444444444444446,0.0001808531220295926,1.1761415299716866,0.013936504131011484,0.001253264508714232,7,0.003034,352.5,402.0,358.0,326.0,349.0,357.5
断肠,25,0.03968253968253968,0.00043068278362396004,1.197368328099038,0.012854045657426672,0.0011187176131294658,8,0.003468,388.5,345.0,322.0,339.0,398.0,358.5
清晨,27,0.04285714285714286,0.000393670981906276,1.1655156573625136,0.014095940213991959,0.001166962960783448,9,0.003901,365.5,354.0,376.0,322.0,377.0,358.9
梧桐,27,0.04285714285714286,0.0004264768970651323,1.1466500532241284,0.012563027677352491,0.0012563149643836063,5,0.002167,365.5,347.0,395.0,342.0,347.0,359.3
黄鹤,26,0.04126984126984127,0.0008479067302596714,1.1808636568373925,0.009697662523834968,0.0011216689116939097,13,0.005635,378.5,280.0,354.0,389.0,397.0,359.7
草木,27,0.04285714285714286,0.0003887921534980359,1.189321602368464,0.010042227712575161,0.0012266530601391546,9,0.003901,365.5,356.0,340.0,382.0,360.0,360.7
姓名,29,0.046031746031746035,2.018825548237313e-05,1.149567056806491,0.017187100022257026,0.001353679483343331,3,0.0013,340.5,494.5,391.0,271.0,310.0,361.4
鸟飞,28,0.044444444444444446,4.374122021180845e-05,1.1726410316801985,0.01692688752905708,0.0012438766103097766,4,0.001734,352.5,474.0,366.0,275.0,354.0,364.3
管弦,24,0.0380952380952381,0.0013240130887189707,1.2240677411678373,0.005430267473445202,0.0009630008149699886,15,0.006502,396.0,234.0,275.0,480.0,446.0,366.2
年华,22,0.03492063492063492,0.0011469452645923232,1.2067894248881792,0.008803984403725746,0.000877259447194931,13,0.005635,411.0,249.0,308.0,406.0,467.0,368.2
