phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
青楼,22,0.03464566929133858,0.0057303956879207136,1.172701047992325,0.07409194968185884,0.002788148430918174,57,0.003722,63.5,112.0,57.0,46.0,81.0,71.9
千门,24,0.03779527559055118,0.005722943938001441,1.113449473852076,0.08250503822589843,0.0034212421967936787,43,0.002808,51.5,113.0,111.0,36.0,50.0,72.3
九天,23,0.03622047244094488,0.0032191559651258105,1.1938221287824848,0.12490682122954878,0.0029488289432424027,38,0.002481,57.0,194.0,35.0,14.0,68.0,73.6
花发,19,0.029921259842519685,0.007434362502794406,1.1873709438807858,0.062235025146575834,0.002500304028881087,60,0.003917,87.0,74.0,43.0,62.0,102.0,73.6
相访,18,0.028346456692913385,0.010186956125752418,1.1710359055173265,0.06729417863022924,0.002437922047339332,31,0.002024,102.0,48.0,59.0,53.0,110.0,74.4
歌舞,22,0.03464566929133858,0.004421371618768474,1.1834229254996338,0.07445817986420358,0.0028591321446680197,68,0.00444,63.5,147.0,46.0,44.0,74.0,74.9
饮酒,28,0.04409448818897638,0.010074765890856702,1.1030050794964597,0.032676772802312654,0.0041067235983616715,11,0.000718,39.0,50.0,125.0,133.0,32.0,75.8
白马,19,0.029921259842519685,0.00699098338259768,1.1803864006593479,0.06464346175579788,0.0024800092715245273,40,0.002612,87.0,88.0,49.0,57.0,103.0,76.8
大道,20,0.031496062992125984,0.012056931369383243,1.1163931175936042,0.04030560735477422,0.0032324130272787487,37,0.002416,74.0,43.0,109.0,112.0,57.0,79.0
宫殿,22,0.03464566929133858,0.004307111453339626,1.148672205840207,0.08038212430392264,0.0029098241446001614,37,0.002416,63.5,150.0,75.0,37.0,70.0,79.1
逶迤,25,0.03937007874015748,0.007272907921210164,1.0891462426161245,0.049429666443149764,0.004095643448763063,8,0.000522,47.0,81.5,149.0,90.0,33.0,80.1
相对,21,0.03307086614173228,0.0034460203515570016,1.1727581324681837,0.10121196197755732,0.0026388774929431967,57,0.003722,69.0,183.0,56.0,19.0,91.0,83.6
