phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
怜君,79,0.1184407796101949,0.0007721364542953748,1.672921197332926,0.03840833956480688,0.0016195433804473045,129,0.000833,221.5,517.0,274.0,255.0,217.0,296.9
浮生,72,0.10794602698650674,0.0018031524778151465,1.6719914790701835,0.03184787224308963,0.0014933589816032626,169,0.001092,328.5,146.5,281.0,407.0,328.0,298.2
东西,69,0.10344827586206896,0.0016478247362805083,1.6725897323703465,0.036689619982663214,0.0014336489705321892,337,0.002177,365.0,185.5,277.0,305.0,371.0,300.7
谢公,70,0.10494752623688156,0.0020260140200170185,1.6693177284210663,0.03207621995610042,0.0014686586392283006,194,0.001253,350.0,107.0,302.0,405.0,343.0,301.4
佳人,76,0.11394302848575712,0.0008644326485405945,1.6674667382072397,0.04335759610375159,0.0015601052862085295,252,0.001628,272.0,477.5,321.0,179.0,269.0,303.7
辛苦,73,0.10944527736131934,0.0014114564339451896,1.6734062413100321,0.03375621458785453,0.0015206528372359784,153,0.000989,316.0,257.5,271.0,366.0,311.0,304.3
青草,73,0.10944527736131934,0.0012876444660552607,1.6619476862273366,0.039878534384147644,0.0015117939665657849,156,0.001008,316.0,296.0,362.0,234.0,320.0,305.6
东林,71,0.10644677661169415,0.0016478247362805083,1.6700537710743073,0.03297606856133538,0.0014713882102668843,177,0.001144,337.5,185.5,294.0,383.0,341.0,308.2
承恩,74,0.11094452773613193,0.0010985498241870056,1.6623770070619694,0.040503866166726035,0.0015536171250962179,146,0.000943,300.0,382.5,359.0,222.0,278.0,308.3
丈夫,70,0.10494752623688156,0.0021408214811513165,1.6652434078424898,0.03144668360820189,0.0014645588939635051,178,0.00115,350.0,88.0,341.0,416.0,348.0,308.6
明时,68,0.10194902548725637,0.0021385703544624084,1.6751463983772288,0.031000584300707342,0.0014077312423163553,158,0.001021,378.5,89.0,256.0,424.0,396.0,308.7
独坐,69,0.10344827586206896,0.0016388202295248772,1.674429433651783,0.035393438312422865,0.0013936714940002164,188,0.001215,365.0,189.5,263.0,333.0,405.0,311.1
眼前,70,0.10494752623688156,0.0016905961433697565,1.6686144258596711,0.03328410364276866,0.0014595805943776199,195,0.00126,350.0,175.0,306.0,374.0,351.0,311.2
凉风,71,0.10644677661169415,0.0015375195285240264,1.6672172941314773,0.0343314796215802,0.0015019785189325967,214,0.001383,337.5,222.0,322.0,353.0,326.0,312.1
白玉,68,0.10194902548725637,0.0019292155723939833,1.667899962410986,0.03402242713693705,0.0014219797313639454,217,0.001402,378.5,126.0,317.0,363.0,381.0,313.1
南北,74,0.11094452773613193,0.0012313662988325657,1.657455022839544,0.03807491709052924,0.0015516890198169456,193,0.001247,300.0,321.0,402.0,266.0,283.0,314.4
登楼,72,0.10794602698650674,0.001440721080900991,1.6648634431703817,0.03601728179279403,0.0014666825368148118,195,0.00126,328.5,246.5,343.0,319.0,346.0,316.6
风月,70,0.10494752623688156,0.0016028022025023525,1.6699190614516095,0.03316632641771509,0.001453586801251264,188,0.001215,350.0,202.0,297.0,378.0,360.0,317.4
山路,77,0.11544227886056971,0.0009229619424521974,1.661282111779977,0.03814807600934932,0.0015664005483449282,149,0.000963,253.5,447.5,368.0,263.0,265.0,319.4
劝君,74,0.11094452773613193,0.0010490250370310341,1.6647422005561252,0.037792271103436796,0.001552756339367941,119,0.000769,300.0,399.5,344.0,278.0,282.0,320.7
两相,77,0.11544227886056971,0.0007293650472061266,1.6567731065475404,0.042403627902730626,0.0016231543037680842,111,0.000717,253.5,539.5,406.0,194.0,213.0,321.2
风流,67,0.10044977511244378,0.001877439658549104,1.6683444116696613,0.03479633514460477,0.0013655644847561529,356,0.0023,394.0,133.0,309.0,342.0,429.0,321.4
猿啼,79,0.1184407796101949,0.0004952478715597157,1.6620745109498378,0.04256400775465559,0.0016483654945332654,130,0.00084,221.5,637.5,361.0,192.0,196.0,321.6
宫殿,80,0.1199400299850075,0.0005222613918266092,1.654527175053207,0.04078230699958598,0.001727574878459571,110,0.000711,207.5,630.0,414.0,218.0,141.0,322.1
空山,76,0.11394302848575712,0.0009927468698083391,1.6603018402359944,0.037265142622572016,0.0015779756937186755,258,0.001667,272.0,423.0,377.0,290.0,253.0,323.0
杯酒,69,0.10344827586206896,0.002030516273394834,1.666847329259755,0.030614885108526415,0.0014201859536819741,171,0.001105,365.0,105.0,325.0,437.0,384.0,323.2
帝乡,71,0.10644677661169415,0.001283142212677445,1.66999519409434,0.03421475689302073,0.0014771345723844707,147,0.00095,337.5,299.5,295.0,355.0,335.0,324.4
水声,76,0.11394302848575712,0.000916208562385474,1.6617145993765297,0.036579017712158615,0.0015895001361028213,121,0.000782,272.0,450.0,365.0,308.0,240.0,327.0
阳台,76,0.11394302848575712,0.0006715861288574932,1.6502498189988928,0.04504239248590484,0.0016456727684472676,131,0.000846,272.0,569.0,437.0,161.0,197.0,327.2
晚来,76,0.11394302848575712,0.0006325665995830914,1.6676891159457483,0.041289158041602866,0.0015794805972584969,113,0.00073,272.0,586.0,320.0,211.0,252.0,328.2
东方,69,0.10344827586206896,0.0018346682514598558,1.6597037201925453,0.03164774495303302,0.001469565848314312,151,0.000976,365.0,140.0,383.0,411.0,342.0,328.2
路岐,75,0.11244377811094453,0.0009589799694747222,1.6623033819709345,0.0365177598897065,0.0015800278623911645,118,0.000762,286.0,436.5,360.0,309.0,250.0,328.3
牡丹,73,0.10944527736131934,0.0009454732093412754,1.6631569400718973,0.04059659695614555,0.001523317536328268,253,0.001635,316.0,441.5,354.0,221.0,309.0,328.3
知音,68,0.10194902548725637,0.0018954486720603662,1.6705130249938125,0.028951072857014072,0.0014296828372862122,263,0.001699,378.5,129.0,290.0,471.0,375.0,328.7
八月,73,0.10944527736131934,0.0009995002498750624,1.6639810212561528,0.037856799396093065,0.00154697119351409,218,0.001409,316.0,417.5,348.0,275.0,290.0,329.3
他人,69,0.10344827586206896,0.0016380698539619082,1.6709017387228136,0.03043261848323331,0.001440386705150447,131,0.000846,365.0,191.0,287.0,441.0,367.0,330.2
依然,73,0.10944527736131934,0.001038894966930949,1.6736250366757863,0.034409668718694955,0.0015180938426083935,132,0.000853,316.0,402.0,269.0,352.0,312.0,330.2
独行,77,0.11544227886056971,0.0007743875809842827,1.6641503607105785,0.035788702717309884,0.001622347350295546,115,0.000743,253.5,515.5,346.0,324.0,215.0,330.8
马嘶,73,0.10944527736131934,0.0008981995488742116,1.6660404735733285,0.03893771897079167,0.0015281595937434711,131,0.000846,316.0,460.0,331.0,247.0,307.0,332.2
