社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,今朝,30,59,412.9,32.421893921046255,170
0,九天,30,63,452.4,32.210433244916004,171
0,紫微,30,58,541.1,31.848087229717244,172
0,玲珑,30,52,582.2,31.717622810030917,173
0,春深,30,48,602.8,31.65892501658925,174
0,东方,29,69,328.2,32.04692260816575,175
0,零落,29,67,344.2,31.905287623474724,176
0,云雨,29,66,388.2,31.57599175682638,177
0,人家,29,67,400.8,31.49500998003992,178
0,镜中,29,59,458.7,31.180074122520168,179
0,天上,29,59,464.8,31.15146299483649,180
0,庭前,29,61,497.7,31.00924251557163,181
0,千秋,28,73,293.8,31.40367597004765,182
0,次第,28,65,355.9,30.809778027535824,183
0,参差,28,43,629.8,29.587805652588123,184
0,风景,27,79,185.1,32.402485143165855,185
0,临水,27,63,385.2,29.596053997923157,186
0,青春,27,60,455.6,29.19490781387182,187
0,夜深,27,62,485.0,29.061855670103093,188
0,南山,27,56,488.2,29.048340843916428,189
0,池塘,27,55,511.4,28.95541650371529,190
0,怅望,26,65,365.1,28.738975623116954,191
0,蓬莱,26,62,494.6,28.021835826930854,192
0,月光,26,52,594.4,27.68236877523553,193
0,瑶池,26,47,617.8,27.618646811265783,194
0,台上,25,66,375.2,27.665245202558637,195
0,逶迤,25,65,419.8,27.38208670795617,196
0,临风,25,63,434.2,27.303086135421466,197
0,枕上,25,61,477.8,27.09292591042277,198
0,双阙,25,58,527.8,26.89465706707086,199
0,宁知,24,77,248.1,28.03063280935107,200
0,仙人,24,55,471.2,26.122241086587437,201
0,白雪,24,60,478.4,26.090301003344482,202
0,无穷,23,59,420.6,25.377555872563004,203
0,殷勤,23,60,455.0,25.197802197802197,204
0,氛氲,23,56,532.0,24.8796992481203,205
0,衣裳,23,48,540.6,24.849796522382537,206
0,明日,22,57,492.9,24.02880908906472,207
0,尘埃,22,50,593.7,23.684352366515075,208
0,光辉,22,48,604.2,23.65508109897385,209
0,万年,21,42,645.5,22.549186676994577,210
0,飘飖,20,52,581.2,21.720578114246386,211
0,依稀,20,49,608.8,21.64257555847569,212
0,南宫,15,43,636.6,16.570845114671695,213
1,万里,73,130,5.6,251.57142857142858,1
1,孤舟,60,104,58.6,77.06484641638225,2
1,归客,59,113,59.7,75.75041876046902,3
1,江上,58,99,46.4,79.55172413793103,4
1,洞庭,57,85,204.8,61.8828125,5
1,天涯,54,93,96.9,64.31991744066048,6
1,落日,53,99,52.8,71.93939393939394,7
1,他乡,52,93,132.9,59.52445447705041,8
1,楚水,52,86,210.8,56.7438330170778,9
1,猿声,51,92,170.5,56.86510263929619,10
1,千里,50,90,86.3,61.58748551564311,11
1,秋风,48,96,71.0,62.08450704225352,12
1,送客,48,93,116.9,56.55431993156544,13
1,青山,47,96,57.6,64.36111111111111,14
1,回首,47,91,84.9,58.77856301531213,15
1,楚客,47,86,186.1,52.37345513164965,16
1,潇湘,47,77,264.4,50.7821482602118,17
1,春草,46,101,42.3,69.64066193853428,18
1,故乡,46,103,46.0,67.73913043478261,19
1,秋草,45,94,92.7,55.78748651564186,20
1,离别,44,117,29.7,77.67003367003366,21
1,别离,44,101,38.8,69.77319587628867,22
1,夕阳,44,94,80.8,56.37623762376238,23
1,故国,44,88,132.4,51.55287009063444,24
1,相思,43,96,99.1,53.090817356205854,25
1,故人,43,87,112.1,51.920606601248885,26
1,秋色,43,84,171.8,48.820721769499414,27
1,白蘋,43,78,264.0,46.78787878787879,28
1,白云,42,89,107.8,51.27643784786642,29
1,汀洲,42,94,141.9,49.04721634954193,30
1,孤城,41,97,56.7,58.63668430335097,31
1,故园,41,96,65.2,56.33742331288343,32
1,烟波,41,85,143.2,47.98324022346369,33
1,湘水,41,81,192.7,46.18941359626362,34
1,扁舟,41,75,347.0,43.88184438040346,35
1,归心,40,92,89.1,51.22334455667789,36
1,摇落,40,86,132.7,47.53579502637528,37
1,行客,40,90,156.3,46.39795265515035,38
1,古木,40,80,220.8,44.528985507246375,39
1,路长,40,75,275.4,43.63108206245461,40
1,关河,40,79,291.2,43.434065934065934,41
1,关山,39,92,120.1,47.32639467110741,42
1,客心,39,90,138.1,46.24112961622013,43
